i,lpips,bnorm
0,0.029935214668512344,0.8646736741065979
1,0.02761201746761799,0.8636190891265869
2,0.027607794851064682,0.8295329213142395
3,0.02799258939921856,0.8285092115402222
4,0.02840343862771988,0.8206200003623962
5,0.02719130367040634,0.8472914099693298
6,0.026520321145653725,0.8311936855316162
7,0.026378635317087173,0.8192884922027588
8,0.02687433734536171,0.8170897364616394
9,0.025854172185063362,0.8240925073623657
10,0.025792619213461876,0.814066469669342
11,0.025526748970150948,0.8205846548080444
12,0.026305483654141426,0.7292819619178772
13,0.03578558191657066,0.7787234783172607
14,0.053040340542793274,1.1045036315917969
15,0.07520328462123871,1.2405881881713867
16,0.09108834713697433,1.3294727802276611
17,0.10719837993383408,1.4259437322616577
18,0.11367227882146835,1.4508576393127441
19,0.10672491788864136,0.699781596660614
20,0.08268241584300995,0.7154291272163391
21,0.06451056897640228,0.7270417213439941
22,0.048631422221660614,0.710833728313446
23,0.04399774596095085,0.7358003854751587
24,0.04304896667599678,0.7463377118110657
25,0.04526662826538086,0.7533869743347168
26,0.04521694779396057,0.7508429884910583
27,0.045721977949142456,0.748550295829773
28,0.04545823484659195,0.7535383701324463
29,0.04568817466497421,0.7516145706176758
30,0.045767564326524734,0.7400074601173401
31,0.045968491584062576,0.7338719367980957
32,0.04814586043357849,0.7323468923568726
33,0.04752899706363678,0.47982877492904663
34,0.048517823219299316,0.4390700161457062
35,0.05025039613246918,0.6046103239059448
36,0.054455842822790146,0.7817602753639221
37,0.058829352259635925,0.8699579238891602
38,0.06387607753276825,0.9841028451919556
39,0.06911417096853256,1.1105691194534302
40,0.07226921617984772,1.154849886894226
41,0.07837585359811783,1.1991900205612183
42,0.08021483570337296,1.256285548210144
43,0.08219806104898453,1.2979058027267456
44,0.084945447742939,1.3191338777542114
45,0.08676066994667053,1.3280922174453735
46,0.08882994949817657,1.3425724506378174
47,0.08850321918725967,1.3502460718154907
48,0.08788658678531647,1.2976579666137695
49,0.08695146441459656,0.7137002348899841
50,0.08351549506187439,0.48892757296562195
51,0.07846508920192719,0.5747698545455933
52,0.07351183891296387,0.6784771680831909
53,0.0683610737323761,0.6874883770942688
54,0.05961386859416962,0.652669370174408
55,0.05510808527469635,0.6593372225761414
56,0.05251191183924675,0.6640363931655884
57,0.05149500444531441,0.666235089302063
58,0.0506487712264061,0.6542051434516907
59,0.050636276602745056,0.6382201313972473
