i,lpips,bnorm,bnorm_expr,bnorm_eye,head_norm,arcface_cos,render_bs_valid,driving_bs_valid,render_yaw,render_pitch,render_roll
0,0.029935214668512344,0.8646736741065979,0.8503050804138184,0.15697702765464783,0.16783128678798676,0.975134551525116,True,True,-0.02651580423116684,-0.010326969437301159,-0.014897698536515236
1,0.02761201746761799,0.8636190891265869,0.8498746752738953,0.1534634232521057,0.16675344109535217,0.9753273725509644,True,True,-0.023789996281266212,-0.010048388503491879,-0.015836423262953758
2,0.027607794851064682,0.8295329213142395,0.8151749968528748,0.15367038547992706,0.16578449308872223,0.9749832153320312,True,True,-0.026422645896673203,-0.010956929996609688,-0.01561705768108368
3,0.02799258939921856,0.8285092115402222,0.8133635520935059,0.1576938033103943,0.16510362923145294,0.97657310962677,True,True,-0.028187548741698265,-0.009645959362387657,-0.01645742543041706
4,0.02840343862771988,0.8206200003623962,0.8047329187393188,0.1606922298669815,0.15898115932941437,0.9760954976081848,True,True,-0.028803518041968346,-0.01099926233291626,-0.016930129379034042
5,0.02719130367040634,0.8472914099693298,0.8328429460525513,0.15580570697784424,0.14767701923847198,0.9750164747238159,True,True,-0.03057101182639599,-0.010691729374229908,-0.017365656793117523
6,0.026520321145653725,0.8311936855316162,0.8185990452766418,0.14414730668067932,0.1433054506778717,0.9742151498794556,True,True,-0.02994583360850811,-0.012503577396273613,-0.016992643475532532
7,0.026378635317087173,0.8192884922027588,0.8088725209236145,0.13022637367248535,0.13491559028625488,0.9748502373695374,True,True,-0.029472025111317635,-0.013178885914385319,-0.017298148944973946
8,0.02687433734536171,0.8170897364616394,0.807334840297699,0.1258813887834549,0.12817759811878204,0.9735839366912842,True,True,-0.026628244668245316,-0.009097318165004253,-0.01550278626382351
9,0.025854172185063362,0.8240925073623657,0.8151559829711914,0.12103419005870819,0.12695454061031342,0.9760818481445312,True,True,-0.027480408549308777,-0.01091065350919962,-0.015622377395629883
10,0.025792619213461876,0.814066469669342,0.8049179911613464,0.12170083820819855,0.12886406481266022,0.9766097068786621,True,True,-0.027286168187856674,-0.010013467632234097,-0.01442738063633442
11,0.025526748970150948,0.8205846548080444,0.8108372092247009,0.12610399723052979,0.13041122257709503,0.9757432341575623,True,True,-0.02453784830868244,-0.012721691280603409,-0.012508178129792213
12,0.026305483654141426,0.7292819619178772,0.7190821170806885,0.12154458463191986,0.12397578358650208,0.9755508303642273,True,True,-0.026404347270727158,-0.01259958278387785,-0.014731432311236858
13,0.03578558191657066,0.7787234783172607,0.7772283554077148,0.048231545835733414,0.09251933544874191,0.950478196144104,True,True,-0.035925351083278656,-0.05873727425932884,-0.00662367744371295
14,0.053040340542793274,1.1045036315917969,1.104182481765747,0.026632210239768028,0.02613339014351368,0.9338310360908508,True,True,-0.03204941004514694,-0.09301433712244034,-0.009219559840857983
15,0.07520328462123871,1.2405881881713867,1.2379400730133057,0.0810171514749527,0.05488511174917221,0.898865818977356,True,True,-0.018931109458208084,-0.13512760400772095,-0.01002656202763319
16,0.09108834713697433,1.3294727802276611,1.3245744705200195,0.11401941627264023,0.10164183378219604,0.8680667877197266,True,True,-0.011321724392473698,-0.19822119176387787,-0.02114897593855858
17,0.10719837993383408,1.4259437322616577,1.4192441701889038,0.13806495070457458,0.13096198439598083,0.8541115522384644,True,True,-0.01620018109679222,-0.21492578089237213,-0.01550612598657608
18,0.11367227882146835,1.4508576393127441,1.4441392421722412,0.13946209847927094,0.14148125052452087,0.8495098352432251,True,True,-0.021177982911467552,-0.2272195965051651,-0.01984954997897148
19,0.10672491788864136,0.699781596660614,0.6863394379615784,0.13650095462799072,0.1445571929216385,0.8493537902832031,True,True,-0.02331465296447277,-0.2250799834728241,-0.025221966207027435
20,0.08268241584300995,0.7154291272163391,0.7068684101104736,0.11034470796585083,0.07312251627445221,0.8822364807128906,True,True,-0.017710067331790924,-0.1572265326976776,-0.014017016626894474
21,0.06451056897640228,0.7270417213439941,0.7231737971305847,0.0748956948518753,0.005311197135597467,0.9073975682258606,True,True,-0.020381875336170197,-0.11556901782751083,-0.008083348162472248
22,0.048631422221660614,0.710833728313446,0.7100637555122375,0.03307657316327095,0.03435605391860008,0.929719090461731,True,True,-0.02487030252814293,-0.08423585444688797,-0.010664017871022224
23,0.04399774596095085,0.7358003854751587,0.7355049252510071,0.020848900079727173,0.04547148942947388,0.9483276605606079,True,True,-0.026802539825439453,-0.08323787152767181,-0.013085593469440937
24,0.04304896667599678,0.7463377118110657,0.7460432052612305,0.020965540781617165,0.03985423594713211,0.941220760345459,True,True,-0.03228677436709404,-0.07732982188463211,-0.015158750116825104
25,0.04526662826538086,0.7533869743347168,0.7529874444007874,0.024534126743674278,0.03622174635529518,0.9289689064025879,True,True,-0.03030678816139698,-0.08496873825788498,-0.014471407979726791
