i,lpips,bnorm,render_bs_valid,driving_bs_valid
0,0.06857684254646301,0.6239066123962402,False,False
1,0.06678814440965652,0.6333576440811157,False,False
2,0.06703108549118042,0.5888568758964539,False,False
3,0.0670870915055275,0.6307665705680847,False,False
4,0.06730365753173828,0.6124407649040222,False,False
5,0.06576158106327057,0.606704831123352,False,False
6,0.06538791209459305,0.5927196145057678,False,False
7,0.06332388520240784,0.6073229908943176,False,False
8,0.06353756785392761,0.607318103313446,False,False
9,0.06203622370958328,0.536534309387207,False,False
10,0.06193827465176582,0.5757122039794922,False,False
11,0.060066744685173035,0.48117494583129883,False,False
12,0.06031644344329834,0.5227416157722473,False,False
13,0.05921417102217674,0.5420762300491333,False,False
14,0.05978837609291077,0.5068546533584595,False,False
15,0.056991416960954666,0.5060074329376221,False,False
16,0.05619772896170616,0.4674919843673706,False,False
17,0.05644158646464348,0.4658549427986145,False,False
18,0.056569360196590424,0.4900442063808441,False,False
19,0.05548202991485596,0.4656238555908203,False,False
20,0.0555984303355217,0.49620065093040466,False,False
21,0.05480156093835831,0.5025815963745117,False,False
22,0.05446799471974373,0.45112574100494385,False,False
23,0.052072323858737946,0.5535097718238831,False,False
24,0.04853023588657379,1.057364821434021,False,False
25,0.043110914528369904,1.2896809577941895,False,False
26,0.03851117193698883,1.3846230506896973,False,False
27,0.03580169752240181,1.4536447525024414,False,False
28,0.03457621484994888,1.5133341550827026,False,False
29,0.03463487699627876,1.5476653575897217,False,False
30,0.03294126316905022,1.4640607833862305,False,False
31,0.031233791261911392,0.6219229102134705,False,False
32,0.03683958202600479,0.7990450263023376,False,False
33,0.04466240853071213,0.7018293142318726,False,False
34,0.053912512958049774,0.6451287269592285,False,False
35,0.05501231923699379,0.5866376161575317,False,False
36,0.053140897303819656,0.6171339154243469,False,False
37,0.05145782604813576,0.6262803077697754,False,False
38,0.051798492670059204,0.6277787685394287,False,False
39,0.05057491362094879,0.5328857898712158,False,False
40,0.05134356766939163,0.4029211401939392,False,False
41,0.05035402253270149,0.4276185631752014,False,False
42,0.05069522187113762,0.39111584424972534,False,False
43,0.05089694634079933,0.318222314119339,False,False
44,0.05207765847444534,0.2727189064025879,False,False
45,0.05407130718231201,0.6073774695396423,False,False
46,0.05604205280542374,0.8323805332183838,False,False
47,0.056256555020809174,0.6618365049362183,False,False
48,0.055971503257751465,0.5968714356422424,False,False
49,0.05558054521679878,0.5843438506126404,False,False
50,0.05537642538547516,0.3137204945087433,False,False
51,0.05340798571705818,0.6818896532058716,False,False
52,0.052230365574359894,0.7630382180213928,False,False
53,0.0515190064907074,0.9262058734893799,False,False
54,0.04995223134756088,1.0656858682632446,False,False
55,0.04927457123994827,1.1190873384475708,False,False
56,0.049286361783742905,1.1420118808746338,False,False
57,0.04872967302799225,1.1463055610656738,False,False
58,0.04863078147172928,0.9396958351135254,False,False
59,0.04864536225795746,0.6241440176963806,False,False
