i,lpips,bnorm,bnorm_expr,bnorm_eye,head_norm,arcface_cos,render_bs_valid,driving_bs_valid
0,0.06857684254646301,0.6239066123962402,0.6071629524230957,0.14357078075408936,0.10671401768922806,0.6816790103912354,False,False
1,0.06678814440965652,0.6333576440811157,0.6168811321258545,0.1435254067182541,0.10171517729759216,0.6700344085693359,False,False
2,0.06703108549118042,0.5888568758964539,0.5714832544326782,0.14198346436023712,0.11015599966049194,0.6750515699386597,False,False
3,0.0670870915055275,0.6307665705680847,0.6145997643470764,0.1418929547071457,0.11202910542488098,0.6784591674804688,False,False
4,0.06730365753173828,0.6124407649040222,0.596361517906189,0.13941502571105957,0.1020236611366272,0.6877376437187195,False,False
5,0.06576158106327057,0.606704831123352,0.5906543731689453,0.13862952589988708,0.10630214214324951,0.6841257810592651,False,False
6,0.06538791209459305,0.5927196145057678,0.5755065679550171,0.1418052762746811,0.10574327409267426,0.6763507127761841,False,False
7,0.06332388520240784,0.6073229908943176,0.5915799736976624,0.1373838186264038,0.09826820343732834,0.6976156234741211,False,False
8,0.06353756785392761,0.607318103313446,0.5931980013847351,0.1301974356174469,0.09858255833387375,0.6988562345504761,False,False
9,0.06203622370958328,0.536534309387207,0.5211433172225952,0.1275879144668579,0.09178303182125092,0.7026810050010681,False,False
10,0.06193827465176582,0.5757122039794922,0.5671674013137817,0.0988214835524559,0.08847185969352722,0.7101173400878906,False,False
11,0.060066744685173035,0.48117494583129883,0.47513532638549805,0.07599838078022003,0.07975801825523376,0.7103644609451294,False,False
12,0.06031644344329834,0.5227416157722473,0.5187429785728455,0.06453301757574081,0.07116328179836273,0.7184280157089233,False,False
13,0.05921417102217674,0.5420762300491333,0.5390949845314026,0.05677381157875061,0.06267787516117096,0.7216545939445496,False,False
14,0.05978837609291077,0.5068546533584595,0.5042605996131897,0.05121360346674919,0.059512875974178314,0.7220247983932495,False,False
15,0.056991416960954666,0.5060074329376221,0.5041142106056213,0.04373059794306755,0.047147151082754135,0.7473050951957703,False,False
16,0.05619772896170616,0.4674919843673706,0.4646569490432739,0.05140717327594757,0.04004021733999252,0.7532114386558533,False,False
17,0.05644158646464348,0.4658549427986145,0.45937201380729675,0.07744798809289932,0.03743916004896164,0.7602524757385254,False,False
18,0.056569360196590424,0.4900442063808441,0.48337218165397644,0.08058926463127136,0.04080873355269432,0.7602541446685791,False,False
19,0.05548202991485596,0.4656238555908203,0.4584483206272125,0.08142907917499542,0.04130421206355095,0.768345832824707,False,False
20,0.0555984303355217,0.49620065093040466,0.4900875389575958,0.07764863222837448,0.043509144335985184,0.7741178870201111,False,False
21,0.05480156093835831,0.5025815963745117,0.4977794885635376,0.06930948793888092,0.04195220023393631,0.7748473882675171,False,False
22,0.05446799471974373,0.45112574100494385,0.4466135799884796,0.06364569067955017,0.03983251750469208,0.7886934280395508,False,False
23,0.052072323858737946,0.5535097718238831,0.5522292852401733,0.037628818303346634,0.024951735511422157,0.8086529970169067,False,False
24,0.04853023588657379,1.057364821434021,1.0569061040878296,0.031140301376581192,0.03525397181510925,0.8583253622055054,False,False
25,0.043110914528369904,1.2896809577941895,1.288603663444519,0.05270138382911682,0.0582672618329525,0.8836965560913086,False,False
26,0.03851117193698883,1.3846230506896973,1.3819586038589478,0.0858568623661995,0.07328072935342789,0.9078537225723267,False,False
27,0.03580169752240181,1.4536447525024414,1.450638771057129,0.09343668073415756,0.08758656680583954,0.9214332103729248,False,False
28,0.03457621484994888,1.5133341550827026,1.5103641748428345,0.09476704150438309,0.08848705142736435,0.9307681918144226,False,False
29,0.03463487699627876,1.5476653575897217,1.544947624206543,0.09167928993701935,0.08952266722917557,0.9288989305496216,False,False
30,0.03294126316905022,1.4640607833862305,1.4610463380813599,0.09390248358249664,0.09601115435361862,0.9375998973846436,False,False
31,0.031233791261911392,0.6219229102134705,0.6077884435653687,0.13183818757534027,0.11946184933185577,0.950093150138855,False,False
32,0.03683958202600479,0.7990450263023376,0.7850266695022583,0.1490168571472168,0.10245756804943085,0.9070364236831665,False,False
33,0.04466240853071213,0.7018293142318726,0.6929599642753601,0.11122418940067291,0.05271055921912193,0.8722520470619202,False,False
34,0.053912512958049774,0.6451287269592285,0.6422862410545349,0.06049363687634468,0.02015967108309269,0.8440293073654175,False,False
35,0.05501231923699379,0.5866376161575317,0.5852731466293335,0.0399874672293663,0.011811173520982265,0.8405935764312744,False,False
36,0.053140897303819656,0.6171339154243469,0.6160045862197876,0.03731681779026985,0.01827082596719265,0.8526724576950073,False,False
37,0.05145782604813576,0.6262803077697754,0.6245293021202087,0.04679924249649048,0.025287380442023277,0.8534801006317139,False,False
38,0.051798492670059204,0.6277787685394287,0.626218318939209,0.04423537477850914,0.025998026132583618,0.8565505743026733,False,False
39,0.05057491362094879,0.5328857898712158,0.5312784314155579,0.041357651352882385,0.018535293638706207,0.8594644069671631,False,False
40,0.05134356766939163,0.4029211401939392,0.4008939564228058,0.040366657078266144,0.026913195848464966,0.8763039112091064,False,False
41,0.05035402253270149,0.4276185631752014,0.42592653632164,0.03800280764698982,0.03220539167523384,0.8683629035949707,False,False
42,0.05069522187113762,0.39111584424972534,0.38967272639274597,0.03356732800602913,0.03552525117993355,0.8671956062316895,False,False
43,0.05089694634079933,0.318222314119339,0.31654655933380127,0.03261449933052063,0.032778050750494,0.8685430288314819,False,False
44,0.05207765847444534,0.2727189064025879,0.2706972658634186,0.03314494714140892,0.024747300893068314,0.8763725757598877,False,False
45,0.05407130718231201,0.6073774695396423,0.6059461236000061,0.04167371243238449,0.019540419802069664,0.8669215440750122,False,False
46,0.05604205280542374,0.8323805332183838,0.8305932879447937,0.054517216980457306,0.013163886032998562,0.8607133626937866,False,False
47,0.056256555020809174,0.6618365049362183,0.6592169404029846,0.05882604047656059,0.01687246933579445,0.8651238679885864,False,False
48,0.055971503257751465,0.5968714356422424,0.5939511656761169,0.058971039950847626,0.022357802838087082,0.8760485649108887,False,False
49,0.05558054521679878,0.5843438506126404,0.5818440318107605,0.053992800414562225,0.022141894325613976,0.8715629577636719,False,False
50,0.05537642538547516,0.3137204945087433,0.30932170152664185,0.0523509755730629,0.027347074821591377,0.8702727556228638,False,False
51,0.05340798571705818,0.6818896532058716,0.6787384152412415,0.06547985970973969,0.04245247691869736,0.878508448600769,False,False
52,0.052230365574359894,0.7630382180213928,0.7589327692985535,0.07904686033725739,0.058240409940481186,0.8905074596405029,False,False
53,0.0515190064907074,0.9262058734893799,0.9223904013633728,0.08398395776748657,0.06715178489685059,0.8897333741188049,False,False
54,0.04995223134756088,1.0656858682632446,1.0615980625152588,0.09325197339057922,0.08230877667665482,0.893967866897583,False,False
55,0.04927457123994827,1.1190873384475708,1.1147021055221558,0.09897217899560928,0.09338892251253128,0.8952277898788452,False,False
56,0.049286361783742905,1.1420118808746338,1.1378636360168457,0.09725130349397659,0.09474363923072815,0.8967419862747192,False,False
57,0.04872967302799225,1.1463055610656738,1.1427996158599854,0.08958619832992554,0.09328640252351761,0.8956273794174194,False,False
58,0.04863078147172928,0.9396958351135254,0.9355460405349731,0.08821482211351395,0.09004636108875275,0.8954923748970032,False,False
59,0.04864536225795746,0.6241440176963806,0.617518424987793,0.09070172160863876,0.08164863288402557,0.8959447145462036,False,False
