channel,n_active,agree_frac,status
browDownLeft,481,0.7338877338877339,OK
browDownRight,741,0.9406207827260459,OK
browInnerUp,5236,0.8919022154316272,OK
browOuterUpLeft,4408,0.9571234119782214,OK
browOuterUpRight,2714,0.9686809137803979,OK
cheekPuff,0,NaN,low_active
cheekSquintLeft,0,NaN,low_active
cheekSquintRight,0,NaN,low_active
eyeBlinkLeft,5624,0.9765291607396871,OK
eyeBlinkRight,4680,0.9352564102564103,OK
eyeLookDownLeft,3916,0.9164964249233912,OK
eyeLookDownRight,4151,0.9205010840761262,OK
eyeLookInLeft,856,0.860981308411215,OK
eyeLookInRight,3513,0.82977512097922,OK
eyeLookOutLeft,4224,0.8248106060606061,OK
eyeLookOutRight,710,0.852112676056338,OK
eyeLookUpLeft,4592,0.9466463414634146,OK
eyeLookUpRight,4717,0.9332202671189316,OK
eyeSquintLeft,4397,0.8433022515351376,OK
eyeSquintRight,4569,0.8653972422849638,OK
eyeWideLeft,340,0.9970588235294118,OK
eyeWideRight,364,0.9615384615384616,OK
jawForward,0,NaN,low_active
jawLeft,27,0.2962962962962963,low_active
jawOpen,1615,0.9758513931888545,OK
jawRight,48,1.0,low_active
mouthClose,45,0.8888888888888888,low_active
mouthDimpleLeft,99,0.8787878787878788,low_active
mouthDimpleRight,264,0.9962121212121212,OK
mouthFrownLeft,66,0.8333333333333334,low_active
mouthFrownRight,86,0.813953488372093,low_active
mouthFunnel,258,1.0,OK
mouthLeft,8,0.0,low_active
mouthLowerDownLeft,275,1.0,OK
mouthLowerDownRight,352,1.0,OK
mouthPressLeft,309,0.7799352750809061,OK
mouthPressRight,472,0.961864406779661,OK
mouthPucker,5593,0.8496334704094404,OK
mouthRight,1078,0.9944341372912802,OK
mouthRollLower,124,0.8225806451612904,low_active
mouthRollUpper,180,0.85,low_active
mouthShrugLower,235,0.6,OK
mouthShrugUpper,34,0.47058823529411764,low_active
mouthSmileLeft,467,0.9957173447537473,OK
mouthSmileRight,550,0.9963636363636363,OK
mouthStretchLeft,186,0.9516129032258065,low_active
mouthStretchRight,232,0.6508620689655172,OK
mouthUpperUpLeft,212,1.0,OK
mouthUpperUpRight,244,1.0,OK
noseSneerLeft,0,NaN,low_active
noseSneerRight,0,NaN,low_active
yaw,1275,0.1803921568627451,FLIP
pitch,1522,0.8193166885676741,OK
roll,4233,0.9177888022678952,OK
