batch,style,id_idx,render,age_bin,age_mid,detected,buffalo_age,buffalo_gender
identities,anchor,0,id_00.png,20-29,25.0,True,29.0,F
identities,anchor,1,id_01.png,20-29,25.0,True,34.0,F
identities,anchor,2,id_02.png,20-29,25.0,True,64.0,M
identities,anchor,3,id_03.png,20-29,25.0,True,29.0,F
identities,anchor,4,id_04.png,40-49,45.0,True,51.0,F
identities,anchor,5,id_05.png,40-49,45.0,True,55.0,M
identities,anchor,6,id_06.png,40-49,45.0,True,56.0,F
identities,anchor,7,id_07.png,30-39,35.0,True,51.0,M
identities,anchor,8,id_08.png,30-39,35.0,True,51.0,M
identities,anchor,9,id_09.png,40-49,45.0,True,48.0,F
identities,anchor,10,id_10.png,30-39,35.0,True,42.0,F
identities,anchor,11,id_11.png,30-39,35.0,True,51.0,F
identities,anchor,12,id_12.png,30-39,35.0,True,44.0,F
identities,anchor,13,id_13.png,40-49,45.0,True,42.0,M
identities,anchor,14,id_14.png,30-39,35.0,True,43.0,M
identities,anchor,15,id_15.png,20-29,25.0,True,30.0,M
identities,anchor,16,id_16.png,40-49,45.0,True,69.0,F
identities,anchor,17,id_17.png,20-29,25.0,True,36.0,M
identities,anchor,18,id_18.png,10-19,,True,52.0,F
identities,anchor,19,id_19.png,3-9,,True,3.0,F
refs,photoreal,0,id_00_seed21439039.png,20-29,25.0,False,,
refs,photoreal,0,id_00_seed25167571.png,20-29,25.0,True,31.0,F
refs,photoreal,0,id_00_seed25865512.png,20-29,25.0,True,26.0,F
refs,photoreal,0,id_00_seed28312321.png,20-29,25.0,True,30.0,F
refs,photoreal,1,id_01_seed24889695.png,20-29,25.0,False,,
refs,photoreal,1,id_01_seed25587636.png,20-29,25.0,True,29.0,F
refs,photoreal,1,id_01_seed27586061.png,20-29,25.0,True,28.0,F
refs,photoreal,2,id_02_seed21168482.png,20-29,25.0,True,32.0,M
refs,photoreal,2,id_02_seed23166907.png,20-29,25.0,True,28.0,M
refs,photoreal,2,id_02_seed23864848.png,20-29,25.0,False,,
refs,photoreal,3,id_03_seed26659780.png,20-29,25.0,True,26.0,F
refs,photoreal,3,id_03_seed27357721.png,20-29,25.0,True,26.0,F
refs,photoreal,3,id_03_seed29356146.png,20-29,25.0,False,,
refs,photoreal,4,id_04_seed21633572.png,40-49,45.0,True,43.0,F
